model,pk,category,name,vendor,slug
category.sub_category,349,138,Straps,1,straps
category.sub_category,350,138,Service Tools,1,service-tools
category.sub_category,351,138,Buckles,1,buckles
category.sub_category,352,138,Batteries,1,batteries
category.sub_category,353,138,Boxes,1,boxes
category.sub_category,354,138,Others,1,others
category.sub_category,355,141,MP3 & MP4 Players,1,mp3-&-mp4-players
category.sub_category,356,141,"CD, DVD, & Blu-ray Players",1,cd-dvd-&-blu-ray-players
category.sub_category,357,141,Voice Recorders,1,voice-recorders
category.sub_category,358,141,Radio & Cassette Players,1,radio-&-cassette-players
category.sub_category,359,141,Others,1,others
category.sub_category,360,144,Speakers,1,speakers
category.sub_category,361,144,Home Theater Systems,1,home-theater-systems
category.sub_category,362,144,AV Receivers,1,av-receivers
category.sub_category,363,144,Others,1,others
category.sub_category,364,147,Cooked Food,1,cooked-food
category.sub_category,365,147,Others,1,others
category.sub_category,366,147,Instant Rice & Porridge,1,instant-rice-&-porridge
category.sub_category,367,147,Instant Hotpot,1,instant-hotpot
category.sub_category,368,147,Instant Noodles,1,instant-noodles
category.sub_category,369,148,Sweets & Candies,1,sweets-&-candies
category.sub_category,370,148,Chocolate,1,chocolate
category.sub_category,371,148,"Biscuits, Cookies & Wafers",1,biscuits-cookies-&-wafers
category.sub_category,372,148,Chips & Crisps,1,chips-&-crisps
category.sub_category,373,148,Seeds,1,seeds
category.sub_category,374,148,Popcorn,1,popcorn
category.sub_category,375,148,Seaweed,1,seaweed
category.sub_category,376,148,Nuts,1,nuts
category.sub_category,377,148,Others,1,others
category.sub_category,378,148,"Pudding, Jellies & Marshmallow",1,pudding-jellies-&-marshmallow
category.sub_category,379,148,Dried Snacks,1,dried-snacks
category.sub_category,380,149,Dried Goods,1,dried-goods
category.sub_category,381,149,Noodles,1,noodles
category.sub_category,382,149,Rice,1,rice
category.sub_category,383,149,Pasta,1,pasta
category.sub_category,384,149,Others,1,others
category.sub_category,385,149,Canned Food,1,canned-food
category.sub_category,386,149,Preserved Vegetables,1,preserved-vegetables
category.sub_category,387,150,Oil,1,oil
category.sub_category,388,150,Seasonings & Condiments,1,seasonings-&-condiments
category.sub_category,389,150,Sugar,1,sugar
category.sub_category,390,150,Sweetener,1,sweetener
category.sub_category,391,150,"Stock, Gravy & Instant Soup",1,stock-gravy-&-instant-soup
category.sub_category,392,150,Cooking Paste & Kit,1,cooking-paste-&-kit
category.sub_category,393,150,Flavour Enhancers,1,flavour-enhancers
category.sub_category,394,150,Flour Coating,1,flour-coating
category.sub_category,395,150,Others,1,others
category.sub_category,396,151,Baking Flavoring,1,baking-flavoring
category.sub_category,397,151,Baking Powder & Soda,1,baking-powder-&-soda
category.sub_category,398,151,Baking Premix Flour,1,baking-premix-flour
category.sub_category,399,151,Flour,1,flour
category.sub_category,400,151,Food Coloring,1,food-coloring
category.sub_category,401,151,Baking decoration,1,baking-decoration
category.sub_category,402,151,Others,1,others
category.sub_category,403,152,Honey & Maple Syrups,1,honey-&-maple-syrups
category.sub_category,404,152,Jam & Spread,1,jam-&-spread
category.sub_category,405,152,"Cereal, Granola & Oats",1,cereal-granola-&-oats
category.sub_category,406,152,Breakfast Bar,1,breakfast-bar
category.sub_category,407,152,Others,1,others
category.sub_category,408,153,Coffee,1,coffee
category.sub_category,409,153,Tea & Tea Bags,1,tea-&-tea-bags
category.sub_category,410,153,Chocolate Drinks,1,chocolate-drinks
category.sub_category,411,153,Energy & Isotonic Drinks,1,energy-&-isotonic-drinks
category.sub_category,412,153,Water,1,water
category.sub_category,413,153,Juice & Juice Vinegar,1,juice-&-juice-vinegar
category.sub_category,414,153,Cordial & Syrups,1,cordial-&-syrups
category.sub_category,415,153,Carbonated Drinks & Tonics,1,carbonated-drinks-&-tonics
category.sub_category,416,153,Powdered Drink Mixes,1,powdered-drink-mixes
category.sub_category,417,153,Dessert Drink,1,dessert-drink
category.sub_category,418,153,Traditional & Herbal Drinks,1,traditional-&-herbal-drinks
category.sub_category,419,153,Drink Toppings,1,drink-toppings
category.sub_category,420,153,Non-dairy Milk,1,non-dairy-milk
category.sub_category,421,153,Others,1,others
category.sub_category,422,154,Milk,1,milk
category.sub_category,423,154,Yogurt & Cultured Milk,1,yogurt-&-cultured-milk
category.sub_category,424,154,Creamers,1,creamers
category.sub_category,425,154,Butter & Margarine,1,butter-&-margarine
category.sub_category,426,154,Cheese & Cheese Powder,1,cheese-&-cheese-powder
category.sub_category,427,154,Ice cream,1,ice-cream
category.sub_category,428,154,Eggs,1,eggs
category.sub_category,429,154,Beancurd,1,beancurd
category.sub_category,430,154,Others,1,others
category.sub_category,431,155,Meat,1,meat
category.sub_category,432,156,Seafood,1,seafood
category.sub_category,433,156,Vegetarian Meat,1,vegetarian-meat
category.sub_category,434,156,Others,1,others
category.sub_category,435,156,Vegetables,1,vegetables
category.sub_category,436,156,Fruits,1,fruits
category.sub_category,437,156,Mushroom,1,mushroom
category.sub_category,438,156,Frozen Processed Food,1,frozen-processed-food
category.sub_category,439,156,Processed Meat & Seafood,1,processed-meat-&-seafood
category.sub_category,440,156,Breads,1,breads
category.sub_category,441,156,Cakes & Pies,1,cakes-&-pies
category.sub_category,442,156,Pastry,1,pastry
category.sub_category,443,156,Others,1,others
category.sub_category,444,157,Beer & Cider,1,beer-&-cider
category.sub_category,445,157,Wine & Champagne,1,wine-&-champagne
category.sub_category,446,157,Liquor & Spirits,1,liquor-&-spirits
category.sub_category,447,157,"Sake, Soju & Umeshu",1,sake-soju-&-umeshu
category.sub_category,448,157,Others,1,others
category.sub_category,449,160,Dog Food,1,dog-food
category.sub_category,450,160,Dog Treats,1,dog-treats
category.sub_category,451,160,Cat Food,1,cat-food
category.sub_category,452,160,Cat Treats,1,cat-treats
category.sub_category,453,160,Small Pet Food,1,small-pet-food
category.sub_category,454,160,Small Pet Treats,1,small-pet-treats
category.sub_category,455,160,Aquarium Pet Food,1,aquarium-pet-food
category.sub_category,456,160,Bird Feed,1,bird-feed
category.sub_category,457,160,Reptile Food,1,reptile-food
category.sub_category,458,160,Others,1,others
category.sub_category,459,161,Bowls & Feeders,1,bowls-&-feeders
category.sub_category,460,161,Travel Essentials,1,travel-essentials
category.sub_category,461,161,"Leashes, Collars, Harnesses & Muzzles",1,leashes-collars-harnesses-&-muzzles
category.sub_category,462,161,Toys,1,toys
category.sub_category,463,161,Pet Furniture,1,pet-furniture
category.sub_category,464,161,Aquarium Needs,1,aquarium-needs
category.sub_category,465,161,Others,1,others
category.sub_category,466,162,Cat Litter & Boxes,1,cat-litter-&-boxes
category.sub_category,467,162,Small Pet Bedding & Litter,1,small-pet-bedding-&-litter
category.sub_category,468,162,Diapers,1,diapers
category.sub_category,469,162,Dog Training Pads & Trays,1,dog-training-pads-&-trays
category.sub_category,470,162,Poop Bags & Scoopers,1,poop-bags-&-scoopers
category.sub_category,471,162,Others,1,others
category.sub_category,472,163,Hair Care,1,hair-care
category.sub_category,473,163,Oral Care,1,oral-care
category.sub_category,474,163,Claw Care,1,claw-care
category.sub_category,475,163,Others,1,others
category.sub_category,476,164,Pet Clothing,1,pet-clothing
category.sub_category,477,164,Wet Weather Gear,1,wet-weather-gear
category.sub_category,478,164,"Boots, Socks & Paw Protectors",1,boots-socks-&-paw-protectors
category.sub_category,479,164,Neck Accessories,1,neck-accessories
category.sub_category,480,164,Eyewear,1,eyewear
category.sub_category,481,164,Hair Accessories,1,hair-accessories
category.sub_category,482,164,Hats,1,hats
category.sub_category,483,164,Others,1,others
category.sub_category,484,165,Anti Fleas & Ticks,1,anti-fleas-&-ticks
category.sub_category,485,165,Medication,1,medication
category.sub_category,486,165,Others,1,others
category.sub_category,487,165,Vitamins & Supplements,1,vitamins-&-supplements
category.sub_category,488,167,Baby Carrier,1,baby-carrier
category.sub_category,489,167,Strollers & Travel Systems,1,strollers-&-travel-systems
category.sub_category,490,167,Stroller Accessories,1,stroller-accessories
category.sub_category,491,167,Car & Motorbike Seats,1,car-&-motorbike-seats
category.sub_category,492,167,Car & Motorbike Seats Accessories,1,car-&-motorbike-seats-accessories
category.sub_category,493,167,Diaper Bags,1,diaper-bags
category.sub_category,494,167,Child Harnesses & Leashes,1,child-harnesses-&-leashes
category.sub_category,495,167,Others,1,others
category.sub_category,496,168,Bottle-feeding,1,bottle-feeding
category.sub_category,497,168,Breastfeeding,1,breastfeeding
category.sub_category,498,168,Highchairs & Booster Seats,1,highchairs-&-booster-seats
category.sub_category,499,168,Utensils,1,utensils
category.sub_category,500,168,Bibs,1,bibs
category.sub_category,501,168,Pacifiers,1,pacifiers
category.sub_category,502,168,Food Processors,1,food-processors
category.sub_category,503,168,Others,1,others
category.sub_category,504,169,Supporting Belts,1,supporting-belts
category.sub_category,505,169,Maternity Pillows,1,maternity-pillows
category.sub_category,506,169,Others,1,others
category.sub_category,507,170,Maternity Milk,1,maternity-milk
category.sub_category,508,170,Maternity Vitamins & Supplement,1,maternity-vitamins-&-supplement
category.sub_category,509,170,Moisturizers & Creams,1,moisturizers-&-creams
category.sub_category,510,170,Others,1,others
category.sub_category,511,171,Bathing Tubs & Seats,1,bathing-tubs-&-seats
category.sub_category,512,171,"Bath Robes, Towels & Wash Cloths",1,bath-robes-towels-&-wash-cloths
category.sub_category,513,171,Shower Caps,1,shower-caps
category.sub_category,514,171,Bathing Tools & Accessories,1,bathing-tools-&-accessories
category.sub_category,515,171,Hair Care & Body Wash,1,hair-care-&-body-wash
category.sub_category,516,171,Baby Colognes & Fragrances,1,baby-colognes-&-fragrances
category.sub_category,517,171,Baby Grooming Tools,1,baby-grooming-tools
category.sub_category,518,171,Wipes,1,wipes
category.sub_category,519,171,Baby Laundry Detergent,1,baby-laundry-detergent
category.sub_category,520,171,Others,1,others
category.sub_category,521,172,Cribs & Cradles & Beds,1,cribs-&-cradles-&-beds
category.sub_category,522,172,"Bouncers, Rockers & Jumpers",1,bouncers-rockers-&-jumpers
category.sub_category,523,172,Walkers,1,walkers
category.sub_category,524,172,Mattresses & Bedding,1,mattresses-&-bedding
category.sub_category,525,172,Storage & Organization,1,storage-&-organization
category.sub_category,526,172,Others,1,others
category.sub_category,527,173,Monitors,1,monitors
category.sub_category,528,173,Mosquito Netting,1,mosquito-netting
category.sub_category,529,173,"Bumpers, Rails & Guards",1,"bumpers,-rails-&-guards"
category.sub_category,530,173,Edge & Corner Guards,1,edge-&-corner-guards
category.sub_category,531,173,Baby Gates & Doorways,1,baby-gates-&-doorways
category.sub_category,532,173,Safety Locks & Straps,1,safety-locks-&-straps
category.sub_category,533,173,Others,1,others
category.sub_category,534,174,Milk Formula,1,milk-formula
category.sub_category,535,174,"Baby Porridge, Puree & Cereal",1,"baby-porridge,-puree-&-cereal"
category.sub_category,536,174,Baby Snack,1,baby-snack
category.sub_category,537,174,Others,1,others
category.sub_category,538,175,Baby Vitamins & Supplements,1,baby-vitamins-&-supplements
category.sub_category,539,175,Nasal Care,1,nasal-care
category.sub_category,540,175,Baby Skincare,1,baby-skincare
category.sub_category,541,175,Baby Oral Care,1,baby-oral-care
category.sub_category,542,175,Sun Care,1,sun-care
category.sub_category,543,175,Others,1,others
category.sub_category,544,176,Changing Pads & Kits,1,changing-pads-&-kits
category.sub_category,545,176,Potty Training & Commode Chairs,1,potty-training-&-commode-chairs
category.sub_category,546,176,Disposable Diapers,1,disposable-diapers
category.sub_category,547,176,Cloth Diapers & Accessories,1,cloth-diapers-&-accessories
category.sub_category,548,176,Others,1,others
category.sub_category,549,177,Baby & Toddler Toys,1,baby-&-toddler-toys
category.sub_category,550,177,Block Toys,1,block-toys
category.sub_category,551,177,Dolls & Stuffed Toys,1,dolls-&-stuffed-toys
category.sub_category,552,177,Pretend Play,1,pretend-play
category.sub_category,553,177,Toy Vehicles,1,toy-vehicles
category.sub_category,554,177,Sports & Outdoor Play,1,sports-&-outdoor-play
category.sub_category,555,177,Educational Toys,1,educational-toys
category.sub_category,556,177,Robot Toys,1,robot-toys
category.sub_category,557,177,Slime & Squishy Toys,1,slime-&-squishy-toys
category.sub_category,558,177,Others,1,others
category.sub_category,559,180,Regular Outerwear,1,regular-outerwear
category.sub_category,560,180,Winter Outerwear,1,winter-outerwear
category.sub_category,561,180,Dresses,1,dresses
category.sub_category,562,180,Bottoms,1,bottoms
category.sub_category,563,180,Sleepwear,1,sleepwear
category.sub_category,564,180,Tops,1,tops
category.sub_category,565,180,Bodysuits & Jumpsuits,1,bodysuits-&-jumpsuits
category.sub_category,566,180,Sets,1,sets
category.sub_category,567,180,Swimwear,1,swimwear
category.sub_category,568,180,Others,1,others
category.sub_category,569,182,Bags & Luggage,1,bags-&-luggage
category.sub_category,570,182,Hats & Caps,1,hats-&-caps
category.sub_category,571,182,Eyewear,1,eyewear
category.sub_category,572,182,Hair Accessories,1,hair-accessories
category.sub_category,573,182,Gloves,1,gloves
category.sub_category,574,182,Belts,1,belts
category.sub_category,575,182,Socks,1,socks
category.sub_category,576,182,Scarves,1,scarves
category.sub_category,577,182,Watches,1,watches
category.sub_category,578,182,Jewelry,1,jewelry
category.sub_category,579,182,Rain Gear,1,rain-gear
category.sub_category,580,182,Earmuffs,1,earmuffs
category.sub_category,581,182,Others,1,others
category.sub_category,582,183,Costumes,1,costumes
category.sub_category,583,183,Underwear & Innerwear,1,underwear-&-innerwear
category.sub_category,584,183,Sleepwear,1,sleepwear
category.sub_category,585,183,Swimwear,1,swimwear
category.sub_category,586,183,Tops,1,tops
category.sub_category,587,183,Outerwear,1,outerwear
category.sub_category,588,183,Bottoms,1,bottoms
category.sub_category,589,183,Suits & Sets,1,suits-&-sets
category.sub_category,590,183,Others,1,others
category.sub_category,591,184,Costumes,1,costumes
category.sub_category,592,184,Underwear & Innerwear,1,underwear-&-innerwear
category.sub_category,593,184,Sleepwear,1,sleepwear
category.sub_category,594,184,Swimwear,1,swimwear
category.sub_category,595,184,Tops,1,tops
category.sub_category,596,184,Outerwear,1,outerwear
category.sub_category,597,184,Bottoms,1,bottoms
category.sub_category,598,184,Rompers & Jumpsuits,1,rompers-&-jumpsuits
category.sub_category,599,184,Dresses,1,dresses
category.sub_category,600,184,Suits & Sets,1,suits-&-sets
category.sub_category,601,184,Others,1,others
category.sub_category,602,185,Boots,1,boots
category.sub_category,603,185,Sandals,1,sandals
category.sub_category,604,185,Sneakers,1,sneakers
category.sub_category,605,185,Flip Flops,1,flip-flops
category.sub_category,606,185,Formal Shoes,1,formal-shoes
category.sub_category,607,185,Loafers,1,loafers
category.sub_category,608,185,Others,1,others
category.sub_category,609,186,Boots,1,boots
category.sub_category,610,186,Sandals,1,sandals
category.sub_category,611,186,Sneakers,1,sneakers
category.sub_category,612,186,Loafers,1,loafers
category.sub_category,613,186,Flip Flops,1,flip-flops
category.sub_category,614,186,Flats,1,flats
category.sub_category,615,186,Others,1,others
category.sub_category,616,188,Xbox,1,xbox
category.sub_category,617,188,Wii,1,wii
category.sub_category,618,188,Nintendo DS,1,nintendo-ds
category.sub_category,619,188,Gameboy,1,gameboy
category.sub_category,620,188,PS Vita,1,ps-vita
category.sub_category,621,188,PSP,1,psp
category.sub_category,622,188,Others,1,others
category.sub_category,623,190,Playstation,1,playstation
category.sub_category,624,190,Xbox,1,xbox
category.sub_category,625,190,Wii,1,wii
category.sub_category,626,190,Nintendo DS,1,nintendo-ds
category.sub_category,627,190,Gameboy,1,gameboy
category.sub_category,628,190,Switch,1,switch
category.sub_category,629,190,PS Vita,1,ps-vita
category.sub_category,630,190,PSP,1,psp
category.sub_category,631,190,PC Game,1,pc-game
category.sub_category,632,190,Others,1,others
category.sub_category,633,192,Point & Shoot,1,point-&-shoot
category.sub_category,634,192,Mirrorless Cameras,1,mirrorless-cameras
category.sub_category,635,192,Action Cameras,1,action-cameras
category.sub_category,636,192,Video Camcorders,1,video-camcorders
category.sub_category,637,192,Instant Cameras,1,instant-cameras
category.sub_category,638,192,Analog Cameras,1,analog-cameras
category.sub_category,639,192,DSLRs,1,dslrs
category.sub_category,640,192,Others,1,others
category.sub_category,641,193,CCTV Security Cameras,1,cctv-security-cameras
category.sub_category,642,193,DVRs,1,dvrs
category.sub_category,643,193,Dummy Cameras,1,dummy-cameras
category.sub_category,644,193,Others,1,others
category.sub_category,645,195,Lens Mount & Adaptors,1,lens-mount-&-adaptors
category.sub_category,646,195,Lens Caps,1,lens-caps
category.sub_category,647,195,Filters,1,filters
category.sub_category,648,195,Lens Hoods,1,lens-hoods
category.sub_category,649,195,Others,1,others
category.sub_category,650,196,Flashes,1,flashes
category.sub_category,651,196,Flash Accessories,1,flash-accessories
category.sub_category,652,196,Gimbals & Stabilizers,1,gimbals-&-stabilizers
category.sub_category,653,196,Lighting & Studio Equipments,1,lighting-&-studio-equipments
category.sub_category,654,196,Photo Films & Papers,1,photo-films-&-papers
category.sub_category,655,196,Photo Printers,1,photo-printers
category.sub_category,656,196,Camera Cases & Bags,1,camera-cases-&-bags
category.sub_category,657,196,Battery Chargers,1,battery-chargers
category.sub_category,658,196,Batteries & Battery Grips,1,batteries-&-battery-grips
category.sub_category,659,196,"Tripods, Monopods, & Accessories",1,"tripods,-monopods,-&-accessories"
category.sub_category,660,196,Others,1,others
category.sub_category,661,197,Dry Boxes & Cabinets,1,dry-boxes-&-cabinets
category.sub_category,662,197,Cleaning Kit,1,cleaning-kit
category.sub_category,663,197,Silica Gel,1,silica-gel
category.sub_category,664,197,Blowers,1,blowers
category.sub_category,665,197,Lenspens & Brushes,1,lenspens-&-brushes
category.sub_category,666,197,Others,1,others
category.sub_category,667,201,Air Fresheners & Home Fragrance,1,air-fresheners-&-home-fragrance
category.sub_category,668,201,Essential Oils,1,essential-oils
category.sub_category,669,201,"Diffusers, Humidifiers & Oil Burners",1,diffusers-humidifiers-&-oil-burners
category.sub_category,670,201,Others,1,others
category.sub_category,671,202,"Toilet Bowls, Seats & Covers",1,toilet-bowls-seats-&-covers
category.sub_category,672,202,Toothbrush Holders & Toothpaste Dispensers,1,toothbrush-holders-&-toothpaste-dispensers
category.sub_category,673,202,"Soap Dispensers, Holders & Boxes",1,soap-dispensers-holders-&-boxes
category.sub_category,674,202,Bathroom Racks & Cabinets,1,bathroom-racks-&-cabinets
category.sub_category,675,202,Bathtubs,1,bathtubs
category.sub_category,676,202,Towels & Bathrobes,1,towels-&-bathrobes
category.sub_category,677,202,Showerheads & Bidet Sprays,1,showerheads-&-bidet-sprays
category.sub_category,678,202,Bath Brushes & Loofahs,1,bath-brushes-&-loofahs
category.sub_category,679,202,Shower Curtains,1,shower-curtains
category.sub_category,680,202,Shower Seats & Commodes,1,shower-seats-&-commodes
category.sub_category,681,202,Safety Handles,1,safety-handles
category.sub_category,682,202,Shower Caps,1,shower-caps
category.sub_category,683,202,Others,1,others
category.sub_category,684,203,Cooling Mats,1,cooling-mats
category.sub_category,685,203,Mattress Protectors & Toppers,1,mattress-protectors-&-toppers
category.sub_category,686,203,"Blankets, Comforters & Quilts",1,blankets-comforters-&-quilts
category.sub_category,687,203,Pillows,1,pillows
category.sub_category,688,203,"Bedsheets, Pillowcases & Bolster Cases",1,bedsheets-pillowcases-&-bolster-cases
category.sub_category,689,203,Mattresses,1,mattresses
category.sub_category,690,203,Mosquito Nets,1,mosquito-nets
category.sub_category,691,203,Bolsters,1,bolsters
category.sub_category,692,203,Others,1,others
category.sub_category,693,204,Flowers,1,flowers
category.sub_category,694,204,Furniture & Appliance Covers,1,furniture-&-appliance-covers
category.sub_category,695,204,Curtains & Blinds,1,curtains-&-blinds
category.sub_category,696,204,Photo Frames & Wall Decoration,1,photo-frames-&-wall-decoration
category.sub_category,697,204,Wallpapers & Wall Stickers,1,wallpapers-&-wall-stickers
category.sub_category,698,204,Clocks,1,clocks
category.sub_category,699,204,Floor Mats,1,floor-mats
category.sub_category,700,204,Carpets & Rugs,1,carpets-&-rugs
category.sub_category,701,204,Vases & Vessels,1,vases-&-vessels
category.sub_category,702,204,Candles & Candleholders,1,candles-&-candleholders
category.sub_category,703,204,Mirrors,1,mirrors
category.sub_category,704,204,Table Cloths,1,table-cloths
category.sub_category,705,204,Others,1,others
category.sub_category,706,206,Cushions,1,cushions
category.sub_category,707,206,Doorstoppers,1,doorstoppers
category.sub_category,708,206,Bed Frames & Headboards,1,bed-frames-&-headboards
category.sub_category,709,206,Desks & Tables,1,desks-&-tables
category.sub_category,710,206,Wardrobes,1,wardrobes
category.sub_category,711,206,"Benches, Chairs & Stools",1,benches-chairs-&-stools
category.sub_category,712,206,Sofas,1,sofas
category.sub_category,713,206,Cupboards & Cabinets,1,cupboards-&-cabinets
category.sub_category,714,206,Shelves & Racks,1,shelves-&-racks
category.sub_category,715,206,Others,1,others
category.sub_category,716,207,Plants,1,plants
category.sub_category,717,207,Garden Decorations,1,garden-decorations
category.sub_category,718,207,Garden Soils & Growing Media,1,garden-soils-&-growing-media
category.sub_category,719,207,Fertilizer,1,fertilizer
category.sub_category,720,207,Seeds & Bulbs,1,seeds-&-bulbs
category.sub_category,721,207,Pots & Planters,1,pots-&-planters
category.sub_category,722,207,Irrigation Systems,1,irrigation-systems
category.sub_category,723,207,Gardening Tools,1,gardening-tools
category.sub_category,724,207,Others,1,others
category.sub_category,725,207,Lawn Mowers,1,lawn-mowers
category.sub_category,726,208,Industrial Adhesives & Tapes,1,industrial-adhesives-&-tapes
category.sub_category,727,208,"Protective Gloves, Goggles & Masks",1,protective-gloves-goggles-&-masks
category.sub_category,728,208,Sinks & Water Taps,1,sinks-&-water-taps
category.sub_category,729,208,Roofing & Flooring,1,roofing-&-flooring
category.sub_category,730,208,Wall Paints & Coatings,1,wall-paints-&-coatings
category.sub_category,731,208,Tools,1,tools
category.sub_category,732,208,"Water Pumps, Parts & Accessories",1,water-pumps-parts-&-accessories
category.sub_category,733,208,"Air Pumps, Parts & Accessories",1,air-pumps-parts-&-accessories
category.sub_category,734,208,Ladders,1,ladders
category.sub_category,735,208,Trollies,1,trollies
category.sub_category,736,208,"Shades, Awnings & Tarpaulins",1,shades-awnings-&-tarpaulins
category.sub_category,737,208,Construction Materials,1,construction-materials
category.sub_category,738,208,Doors & Windows,1,doors-&-windows
category.sub_category,739,208,Others,1,others
category.sub_category,740,209,Clotheslines & Drying Racks,1,clotheslines-&-drying-racks
category.sub_category,741,209,Cleaning Brushes,1,cleaning-brushes
category.sub_category,742,209,Brooms,1,brooms
category.sub_category,743,209,Dusters,1,dusters
category.sub_category,744,209,Mops,1,mops
category.sub_category,745,209,"Basins, Buckets & Water Dippers",1,basins-buckets-&-water-dippers
category.sub_category,746,209,Sponges & Scouring Pads,1,sponges-&-scouring-pads
category.sub_category,747,209,Trash & Recycling Bins,1,trash-&-recycling-bins
category.sub_category,748,209,Plastic Bags & Trash Bags,1,plastic-bags-&-trash-bags
category.sub_category,749,209,Cleaning Cloths,1,cleaning-cloths
category.sub_category,750,209,Pest & Weed Control,1,pest-&-weed-control
category.sub_category,751,209,Tissue & Paper Towels,1,tissue-&-paper-towels
category.sub_category,752,209,Toilet Paper,1,toilet-paper
category.sub_category,753,209,Cleaning Agents,1,cleaning-agents
category.sub_category,754,209,Laundry Care,1,laundry-care
category.sub_category,755,209,Others,1,others
category.sub_category,756,210,Grills & Accessories,1,grills-&-accessories
category.sub_category,757,210,Bakewares & Decorations,1,bakewares-&-decorations
category.sub_category,758,210,Pans,1,pans
category.sub_category,759,210,Pots,1,pots
category.sub_category,760,210,Food Storage,1,food-storage
category.sub_category,761,210,Cling Wrap,1,cling-wrap
category.sub_category,762,210,Aluminium Foil,1,aluminium-foil
category.sub_category,763,210,"Tea, Coffee & Bartending Equipments",1,tea-coffee-&-bartending-equipments
category.sub_category,764,210,Kitchen Racks,1,kitchen-racks
category.sub_category,765,210,Aprons & Kitchen Gloves,1,aprons-&-kitchen-gloves
category.sub_category,766,210,Spatulas & Cooking Tweezers,1,spatulas-&-cooking-tweezers
category.sub_category,767,210,Chopping Boards,1,chopping-boards
category.sub_category,768,210,Knives & Kitchen Scissors,1,knives-&-kitchen-scissors
category.sub_category,769,210,Whisks & Beaters,1,whisks-&-beaters
category.sub_category,770,210,Can & Bottle Openers,1,can-&-bottle-openers
category.sub_category,771,210,Measuring Glasses & Spoons,1,measuring-glasses-&-spoons
category.sub_category,772,210,Strainers,1,strainers
